System	VN?	Cores	Graph	Ants	Method	Best Tour	Ant Byte Size	Transfers	Total	Compute	Transfer	ACO	Sync
Bluegene	no	512	11264	512	clustering	1441840	45076	10970	407.76	70.25	337.51	404.094	3.654
Bluegene	no	256	11264	512	clustering	1443709	45076	21658	469.184	133.878	335.306	465.873	3.294
Bluegene	no	512	8192	512	clustering	1049003	32788	8018	278.432	37.745	240.687	276.9	1.529
Bluegene	no	256	8192	512	clustering	1049199	32788	15799	316.239	72.833	243.407	312.114	4.123
Bluegene	no	128	8192	512	clustering	1049537	32788	31087	404.448	135.185	269.263	403.808	0.637
Bluegene	yes	1024	4096	1024	clustering	523728	16404	4040	424.931	9.712	415.219	424.432	0.491
Bluegene	yes	512	4096	1024	clustering	524528	16404	8004	182.492	19.196	163.297	182.076	0.413
Bluegene	no	512	4096	1024	clustering	524365	16404	7985	153.537	19.229	134.308	151.914	1.615
Bluegene	yes	256	4096	1024	clustering	524665	16404	15800	234.647	37.771	196.876	234.582	0.064
Bluegene	no	256	4096	1024	clustering	524663	16404	15808	199.709	37.863	161.846	199.397	0.307
Bluegene	yes	128	4096	1024	clustering	524899	16404	30486	401.774	72.832	328.941	401.752	0.021
Bluegene	no	128	4096	1024	clustering	524647	16404	30535	317.23	73.031	244.199	316.977	0.252
Bluegene	yes	1024	1024	1024	clustering	132758	4116	1024	101.451	0.61	100.84	100.173	1.274
Bluegene	yes	512	1024	1024	clustering	130526	4116	1955	33.12	1.219	31.9	30.259	2.859
Bluegene	yes	256	1024	1024	clustering	131877	4116	3739	34.034	2.429	31.606	33.827	0.206
Bluegene	yes	128	1024	1024	clustering	131977	4116	7212	33.556	4.819	28.736	33.48	0.075
Kratos	no	16	8192	16	distance	967808	32416	75908	135.788	75.804	59.983	135.463	0.071
Kratos	no	8	8192	16	distance	967104	32416	141811	187.442	141.216	46.226	186.937	0.103
Kratos	no	4	8192	16	distance	945552	32416	245285	325.345	272.548	52.797	324.896	0.044
Kratos	no	2	8192	16	distance	860576	32416	332721	543.196	507.207	35.989	542.464	0.004
Kratos	no	16	4096	16	clustering	481664	16408	38359	38.112	24.974	13.138	38.016	0.01
Kratos	no	16	4096	16	distance	481008	16408	38359	35.635	20.329	15.307	35.55	0.017
Kratos	no	16	4096	16	round robin	480192	16408	38388	38.026	24.894	13.131	37.911	0.03
Kratos	no	8	4096	16	clustering	473200	16408	71852	53.683	36.502	17.181	53.578	0.02
Kratos	no	8	4096	16	distance	474384	16408	71705	48.765	36.318	12.447	48.637	0.004
Kratos	no	8	4096	16	round robin	473664	16408	71797	61.486	47.704	13.782	61.371	0.002
Kratos	no	4	4096	16	clustering	461600	16408	124034	83.851	66.949	16.901	83.725	0.061
Kratos	no	4	4096	16	distance	460992	16408	123828	91.14	76.441	14.7	91.013	0.003
Kratos	no	4	4096	16	round robin	460368	16408	124116	90.718	76.348	14.371	90.585	0.015
Kratos	no	2	4096	16	clustering	426080	16408	168332	129.584	119.679	9.904	129.427	0.001
Kratos	no	2	4096	16	distance	427648	16408	167976	141.097	129.398	11.699	140.934	0.001
Kratos	no	2	4096	16	round robin	428496	16408	168203	139.105	127.265	11.841	138.93	0.011
Kratos	no	1	4096	16	round robin	338544	16408	0	230.933	229.589	1.344	230.71	0.001
Kratos	no	1	4096	16	clustering	337168	16408	0	237.175	235.693	1.481	236.943	0.002
Kratos	no	1	4096	16	distance	338640	16408	0	231.942	230.623	1.319	231.722	0.001
Kratos	no	1	8192	16	distance	673040	32408	0	864.094	861.057	3.037	863.313	0.004
